training_id,title,theme,org_id,state_id,district_id,start_date,end_date,lat,lon,capacity,status
de19a7b1-2638-4add-a39b-9224c3e48ea8,Shimla Medical First Aid Workshop,Medical First Aid,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,6,22,2024-09-28,2024-09-30,31.142962,77.216947,26,COMPLETED
94f65715-a767-4856-b05c-9bc4ba6be581,Amritsar Cyclone Evacuation Workshop,Cyclone Evacuation,10efda5e-4160-4111-a294-09c6c841609f,1,3,2024-01-25,2024-01-29,31.633804,74.917733,130,COMPLETED
cd8cc1fc-0c01-48f7-a31d-5e2d0bf75400,Patiala Flood Preparedness Workshop,Flood Preparedness,10efda5e-4160-4111-a294-09c6c841609f,1,2,2024-01-06,2024-01-10,30.305119,76.413345,112,COMPLETED
30a7817e-2ab4-4e0e-8300-61d5c24c80cf,Nashik Cyclone Evacuation Workshop,Cyclone Evacuation,10efda5e-4160-4111-a294-09c6c841609f,5,21,2024-09-03,2024-09-07,19.985068,73.812203,43,COMPLETED
0f095573-3045-443b-8de3-215cdee4365e,Bhubaneswar Fire Safety Workshop,Fire Safety,10efda5e-4160-4111-a294-09c6c841609f,3,10,2024-02-13,2024-02-17,20.260375,85.81115,67,COMPLETED
4c83d9e8-8562-48a2-837f-bbd8f33aeb92,Dibrugarh Fire Safety Workshop,Fire Safety,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,2,8,2024-02-13,2024-02-15,27.440201,94.908309,36,COMPLETED
1abe5c1d-5a26-454b-b988-90303d099d7f,Wayanad Fire Safety Workshop,Fire Safety,8733ecb2-4640-463f-8656-a3f88f619d8c,4,17,2024-07-30,2024-07-31,11.709643,76.169395,32,COMPLETED
8a2ef3c1-43a6-46f9-8e02-354bdc522281,Pune Medical First Aid Workshop,Medical First Aid,8d0db76c-0930-4117-ae69-724eb1a180b9,5,19,2024-05-21,2024-05-23,18.514798,73.808277,99,COMPLETED
9b839bc9-0944-49f6-8d28-96c182af085b,Cuttack Medical First Aid Workshop,Medical First Aid,a39afcd1-736c-422d-a44f-512c6738a20a,3,11,2024-04-30,2024-05-01,20.446898,85.895721,42,COMPLETED
7a5abb04-68aa-41d3-9884-917813426b49,Dharamshala Earthquake Response Workshop,Earthquake Response,a95531b8-5c4f-49cb-90d9-da081ad1c8c5,6,24,2024-08-17,2024-08-18,32.185148,76.291523,140,COMPLETED
13b194fa-195d-4f66-9025-32827a2a896a,Thiruvananthapuram Medical First Aid Workshop,Medical First Aid,a39afcd1-736c-422d-a44f-512c6738a20a,4,14,2024-07-05,2024-07-06,8.50619,76.958872,133,COMPLETED
af9e50d8-fa67-4d2f-bf01-a67a5c03aa28,Ludhiana Medical First Aid Workshop,Medical First Aid,8d0db76c-0930-4117-ae69-724eb1a180b9,1,1,2024-06-10,2024-06-12,30.900093,75.903493,139,COMPLETED
bc337608-3e72-4b60-a0a1-80c8d72058f1,Shimla Fire Safety Workshop,Fire Safety,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,6,22,2024-04-09,2024-04-10,31.099443,77.195101,43,COMPLETED
c4522ea0-60f2-4c67-ad72-cc710066a203,Kozhikode Earthquake Response Workshop,Earthquake Response,a95531b8-5c4f-49cb-90d9-da081ad1c8c5,4,16,2024-12-17,2024-12-21,11.237721,75.762657,58,COMPLETED
d43d0e6e-7909-4872-9ee2-63e9545bc6dd,Thiruvananthapuram Search & Rescue Workshop,Search & Rescue,8d0db76c-0930-4117-ae69-724eb1a180b9,4,14,2024-01-25,2024-01-27,8.542562,76.975358,26,COMPLETED
221b8ac1-1091-4bc6-965e-430595030a09,Dibrugarh Cyclone Evacuation Workshop,Cyclone Evacuation,8d0db76c-0930-4117-ae69-724eb1a180b9,2,8,2024-06-08,2024-06-10,27.520625,94.906607,55,COMPLETED
0cffc5b4-039c-48d1-81b5-eee25c477668,Patiala Earthquake Response Workshop,Earthquake Response,8733ecb2-4640-463f-8656-a3f88f619d8c,1,2,2024-01-05,2024-01-06,30.309591,76.358978,117,COMPLETED
2d92f9a2-a052-4298-abb2-490d8a526661,Pune Cyclone Evacuation Workshop,Cyclone Evacuation,8733ecb2-4640-463f-8656-a3f88f619d8c,5,19,2024-07-27,2024-08-01,18.525671,73.877521,63,COMPLETED
076908b6-5fb7-4688-b04e-f00898ad94d8,Amritsar Community Response Workshop,Community Response,a95531b8-5c4f-49cb-90d9-da081ad1c8c5,1,3,2024-10-17,2024-10-18,31.653553,74.900992,121,COMPLETED
5985785b-b036-4bce-b27c-ef80b7d37ca5,Ludhiana Cyclone Evacuation Workshop,Cyclone Evacuation,10efda5e-4160-4111-a294-09c6c841609f,1,1,2024-09-19,2024-09-24,30.93822,75.822569,58,COMPLETED
f7f2977c-146d-4603-8f91-5ee9d7fbbdea,Dharamshala Flood Preparedness Workshop,Flood Preparedness,8733ecb2-4640-463f-8656-a3f88f619d8c,6,24,2024-05-14,2024-05-19,32.249764,76.315021,144,COMPLETED
374dd07e-3829-49ee-b369-95fdabecca3a,Cuttack Search & Rescue Workshop,Search & Rescue,8d0db76c-0930-4117-ae69-724eb1a180b9,3,11,2024-08-29,2024-09-03,20.48281,85.85105,123,COMPLETED
d7da5aec-e4f6-4d49-95a0-a8b9449b3ba2,Silchar Medical First Aid Workshop,Medical First Aid,d4a716a8-980d-427a-a459-cdc98c0de4fc,2,7,2024-10-28,2024-10-29,24.853435,92.779879,98,COMPLETED
df1f3b6a-bcbf-4068-bd2c-358e756730ee,Wayanad Search & Rescue Workshop,Search & Rescue,10efda5e-4160-4111-a294-09c6c841609f,4,17,2024-11-24,2024-11-25,11.689015,76.082459,45,COMPLETED
421be5a3-fcf4-4a9d-8e42-ee0546f4b221,Bhubaneswar Landslide Rescue Workshop,Landslide Rescue,8733ecb2-4640-463f-8656-a3f88f619d8c,3,10,2024-09-18,2024-09-19,20.267793,85.845318,53,COMPLETED
5b0829d3-ea5b-4005-a252-0d4c77f688a4,Thiruvananthapuram Fire Safety Workshop,Fire Safety,8d0db76c-0930-4117-ae69-724eb1a180b9,4,14,2024-06-10,2024-06-11,8.491588,76.95624,26,COMPLETED
9378be08-a008-4d5d-a1a3-542bfa7a0aed,Pune Earthquake Response Workshop,Earthquake Response,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,5,19,2024-12-20,2024-12-24,18.539914,73.841061,141,COMPLETED
c96b8e6d-91fd-4a74-89fc-555dd20925e0,Dibrugarh Medical First Aid Workshop,Medical First Aid,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,2,8,2024-07-30,2024-08-04,27.454457,94.930241,40,COMPLETED
8273dcd9-aca1-4870-9055-4caeb455631c,Nashik Flood Preparedness Workshop,Flood Preparedness,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,5,21,2024-09-20,2024-09-22,20.037425,73.784823,144,COMPLETED
87babe30-fff4-41cc-aa7b-58c7f070858f,Mandi Fire Safety Workshop,Fire Safety,9c4a5b04-aef9-47cb-8de2-95d65e4477fd,6,25,2024-09-19,2024-09-20,31.617434,76.919903,25,COMPLETED
a9809bd5-3ec1-473a-ad50-87316cf31ccb,Pune Flood Preparedness Workshop,Flood Preparedness,a95531b8-5c4f-49cb-90d9-da081ad1c8c5,5,19,2024-11-06,2024-11-11,18.494097,73.807239,129,COMPLETED
