attendance_id,training_id,participant_id,status
b4fd6fe4-3331-4c6c-8a0e-acd6c49e287f,de19a7b1-2638-4add-a39b-9224c3e48ea8,8fef3a42-66cd-41e6-b991-3d0d10883c87,PRESENT
52b6424d-7d0e-4984-9570-2835a1182df6,de19a7b1-2638-4add-a39b-9224c3e48ea8,f085b576-7f33-45f5-a9d9-de402d3a3a30,PRESENT
d9653cf5-1696-4127-acb8-4fe95fb2fb72,de19a7b1-2638-4add-a39b-9224c3e48ea8,c5013fc0-e24f-40b0-9f68-d8ccfbc1fd32,PRESENT
74068abc-5be6-4eed-9529-0282a0da91d1,de19a7b1-2638-4add-a39b-9224c3e48ea8,1ccb625b-3d6a-4598-93aa-d21dd0bd5abe,PRESENT
42c803a7-88d7-486b-add1-936b2363c513,de19a7b1-2638-4add-a39b-9224c3e48ea8,343a1f88-eedb-4c22-bdbb-2e135be5e0bc,PRESENT
f42a3b4f-831c-4135-acb6-4f26cab92331,de19a7b1-2638-4add-a39b-9224c3e48ea8,0c98cd79-ae97-4a3c-8d83-1fd31cc1f121,PRESENT
6fa4bcf7-03de-4ada-8ee4-c07c5ff91c2a,de19a7b1-2638-4add-a39b-9224c3e48ea8,4f0b0a5f-c7a6-40c6-937c-ff78f687e13e,PRESENT
8670c375-4d5d-4c64-8b59-4f1e6b23d144,de19a7b1-2638-4add-a39b-9224c3e48ea8,4cfb8e70-fb3a-4a5b-9bbb-17a1abbebc37,PRESENT
83f97572-2d1b-4e6a-8f9e-cd42acdf1b81,de19a7b1-2638-4add-a39b-9224c3e48ea8,a504e65c-ab18-4a60-b132-1f3bf2e5c7f8,PRESENT
efe91333-6b9e-49b7-b3e6-7ab6cca2f097,de19a7b1-2638-4add-a39b-9224c3e48ea8,c31c0252-9676-4c8d-9b11-10e4bf34d6eb,PRESENT
73c56937-4e1e-406a-8f63-997250c1ba62,de19a7b1-2638-4add-a39b-9224c3e48ea8,6f4e4e39-11ec-4751-baf3-2cf2b6068404,PRESENT
5ff0dbe9-beee-4be2-a38e-387e424f2a5b,de19a7b1-2638-4add-a39b-9224c3e48ea8,09bc6492-c96f-4949-bc8e-2e3dd66c2232,PRESENT
b64ed094-9fbd-4f30-a47d-47a337069a61,de19a7b1-2638-4add-a39b-9224c3e48ea8,88d757e1-f390-47b2-86f4-859a0fb726c5,PRESENT
9de21667-7232-4bd1-bf44-901e24e15f50,de19a7b1-2638-4add-a39b-9224c3e48ea8,da78c0ea-9430-40c1-9ebe-543ca3100d22,PRESENT
d74fdc65-325b-4186-a7ec-3d3985e7d261,de19a7b1-2638-4add-a39b-9224c3e48ea8,9e022bda-a12f-4fd8-8968-d3b4c728cb94,PRESENT
9f8a563d-437f-4ef3-bec1-9fe9440b050e,de19a7b1-2638-4add-a39b-9224c3e48ea8,58fc1733-f1ae-444a-bd3b-2f72799023ad,PRESENT
